1,3,5,8,10,12,15,18,22,25,30,35,40
Не жирное,Не жирное,Не жирное,Слегка жирное,Слегка жирное,Слегка жирное,Слегка жирное,Слегка жирное,Жирное,Жирное,Жирное,Жирное,Очень жирное
Не жирное,Не жирное,Слегка жирное,Слегка жирное,Жирное,Жирное,Очень жирное,Очень жирное,Очень жирное,Очень жирное,Очень жирное,Очень жирное,Очень жирное
Не жирное,Не жирное,Не жирное,Не жирное,Слегка жирное,Жирное,Жирное,Жирное,Очень жирное,Очень жирное,Очень жирное,Очень жирное,Очень жирное
Не жирное,Не жирное,Слегка жирное,Слегка жирное,Жирное,Жирное,Жирное,Жирное,Очень жирное,Очень жирное,Очень жирное,Очень жирное,Очень жирное
